Titile	Authors	Abstract	Published Year	Published Month	Journal	Volume	Issue	Pages	Accession Number	DOI	Ref	Covidence #	Study	Notes	Tags	DOI	Institute	Country
Coronavirus Disease 2019 (COVID-19) and Cardiovascular Disease: A Viewpoint on the Potential Influence of Angiotensin-Converting Enzyme Inhibitors/Angiotensin Receptor Blockers on Onset and Severity of Severe Acute Respiratory Syndrome Coronavirus 2 Infec	Guo, Junyi; Huang, Zheng; Lin, Li; Lv, Jiagao	NA	2020	NA	Journal of the American Heart Association	9	7 PG - e016219-e016219	e016219-e016219	NA	10.1161/JAHA.120.016219	38149	#38412	Guo 2020	NA	NA	10.1161/JAHA.120.016219	 Junyi Guo    , Division of Cardiology, , Department of Internal Medicine, , Tongji Hospital, , Tongji Medical College, , Huazhong University of Science and Technology, , Wuhan, , China,     Search for more papers by this author    | Zheng Huang    , Division of Gastroenterology, , Department of Internal Medicine, , Tongji Hospital, , Tongji Medical College, , Huazhong University of Science and Technology, , Wuhan, , China,     Search for more papers by this author    | Li Lin  *Correspondence to: Li Lin, MD, PhD, and Jiagao Lv, MD, PhD, Division of Cardiology, Department of Internal Medicine, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan 430030, China. E‐mails:   E-mail Address: [email protected]  ,   E-mail Address: [email protected]  ;   E-mail Address: [email protected]      https://orcid.org/0000-0002-3707-0745   , Division of Cardiology, , Department of Internal Medicine, , Tongji Hospital, , Tongji Medical College, , Huazhong University of Science and Technology, , Wuhan, , China,     Search for more papers by this author    | Jiagao Lv  *Correspondence to: Li Lin, MD, PhD, and Jiagao Lv, MD, PhD, Division of Cardiology, Department of Internal Medicine, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan 430030, China. E‐mails:   E-mail Address: [email protected]  ,   E-mail Address: [email protected]  ;   E-mail Address: [email protected]     , Division of Cardiology, , Department of Internal Medicine, , Tongji Hospital, , Tongji Medical College, , Huazhong University of Science and Technology, , Wuhan, , China,     Search for more papers by this author     	('China', 6)
Coronavirus Disease 2019 (COVID-19) and Cardiovascular Disease: A Viewpoint on the Potential Influence of Angiotensin-Converting Enzyme Inhibitors/Angiotensin Receptor Blockers on Onset and Severity of Severe Acute Respiratory Syndrome Coronavirus 2 Infection	Guo, Junyi; Huang, Zheng; Lin, Li; Lv, Jiagao	NA	2020	NA	Journal of the American Heart Association	9	7	e016219-e016219	NA	10.1161/JAHA.120.016219	26569	#27126	Guo 2020	NA	NA	10.1161/JAHA.120.016219	 Junyi Guo    , Division of Cardiology, , Department of Internal Medicine, , Tongji Hospital, , Tongji Medical College, , Huazhong University of Science and Technology, , Wuhan, , China,     Search for more papers by this author    | Zheng Huang    , Division of Gastroenterology, , Department of Internal Medicine, , Tongji Hospital, , Tongji Medical College, , Huazhong University of Science and Technology, , Wuhan, , China,     Search for more papers by this author    | Li Lin  *Correspondence to: Li Lin, MD, PhD, and Jiagao Lv, MD, PhD, Division of Cardiology, Department of Internal Medicine, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan 430030, China. E‐mails:   E-mail Address: [email protected]  ,   E-mail Address: [email protected]  ;   E-mail Address: [email protected]      https://orcid.org/0000-0002-3707-0745   , Division of Cardiology, , Department of Internal Medicine, , Tongji Hospital, , Tongji Medical College, , Huazhong University of Science and Technology, , Wuhan, , China,     Search for more papers by this author    | Jiagao Lv  *Correspondence to: Li Lin, MD, PhD, and Jiagao Lv, MD, PhD, Division of Cardiology, Department of Internal Medicine, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan 430030, China. E‐mails:   E-mail Address: [email protected]  ,   E-mail Address: [email protected]  ;   E-mail Address: [email protected]     , Division of Cardiology, , Department of Internal Medicine, , Tongji Hospital, , Tongji Medical College, , Huazhong University of Science and Technology, , Wuhan, , China,     Search for more papers by this author     	('China', 6)
Coronavirus Disease 2019 (COVID-19): Do Angiotensin-Converting Enzyme Inhibitors/Angiotensin Receptor Blockers Have a Biphasic Effect?	Sommerstein, Rami; Kochen, Michael M.; Messerli, Franz H.; GrÃ¤ni, Christoph	NA	2020	NA	Journal of the American Heart Association	9	7	e016509-e016509	NA	10.1161/JAHA.120.016509	26570	#27125	Sommerstein 2020	NA	NA	10.1161/JAHA.120.016509	 Rami Sommerstein  *Correspondence to: Rami Sommerstein, MD, Department of Infectious Diseases, Bern University Hospital, Freiburgstrasse, 3010 Bern, Switzerland. E‐mail:   E-mail Address: [email protected]     , Department of Infectious Diseases, , Bern University Hospital, , Bern, , Switzerland,     Search for more papers by this author    | Michael M. Kochen    , Institute of Family Medicine, , University of Freiburg, , Germany,     Search for more papers by this author    | Franz H. Messerli    , Department of Cardiology, , Bern University Hospital, , Bern, , Switzerland,   , Jagiellonian University, , Krakow, , Poland,   , Division of Cardiology, , Mount Sinai Health Medical Center, , Icahn School of Medicine, , New York, , NY,     Search for more papers by this author    | Christoph Gräni    , Department of Cardiology, , Bern University Hospital, , Bern, , Switzerland,     Search for more papers by this author     	('Switzerland', 4)|('Germany', 1)|('Poland', 1)
COVID-19 Pandemic, Corona Viruses, and Diabetes Mellitus	Muniyappa, Ranganath; Gubbi, Sriram	The pandemic of COVID-19, a disease caused by a novel coronavirus (CoV), SARS-CoV-2, is causing substantial morbidity and mortality. Older age and presence of diabetes mellitus, hypertension, and obesity significantly increases the risk for hospitalization and death in COVID-19 patients. In this Perspective, informed by the studies on severe acute respiratory syndrome, SARS-CoV, and Middle East respiratory syndrome, MERS-CoV, and the current literature on SARS-CoV-2, we discuss potential mechanisms by which diabetes modulates the host-viral interactions and host-immune responses. We hope to highlight gaps in knowledge that require further studies pertinent to COVID-19 in patients with diabetes.	2020	NA	American journal of physiology. Endocrinology and metabolism	NA	NA	NA	NA	10.1152/ajpendo.00124.2020	25957	#23168	Muniyappa 2020	NA	NA	10.1152/ajpendo.00124.2020	* Corresponding Author; email: [email protected]1Clinical Endocrine Section, Diabetes, Endocrinology, and Obesity Branch, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, Bethesda, MD, United States* Corresponding Author; email: [email protected]                 Search for more papers by this author             |1Clinical Endocrine Section, Diabetes, Endocrinology, and Obesity Branch, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, Bethesda, MD, United States                 Search for more papers by this author              	('United States', 2)
COVID-19 - is the ACE2 just a foe?	Jakovac, Hrvoje	NA	2020	NA	American journal of physiology. Lung cellular and molecular physiology	NA	NA	NA	NA	10.1152/ajplung.00119.2020	26651	#27746	Jakovac 2020	NA	NA	10.1152/ajplung.00119.2020	* Corresponding Author; email: [email protected]1Department of Physiology and Immunology, Medical Faculty, University of Rijeka, Croatia* Corresponding Author; email: [email protected]                 Search for more papers by this author              	('Croatia', 1)
Covid-19 infection and mortality - A physiologist's perspective enlightening clinical features and plausible interventional strategies	Abassi, Zaid A.; Skorecki, Karl; Heyman, Samuel Noam; Kinaneh, Safa; Armaly, Zaher	Coronavirus 2019 (SARS-CoV-2) binds to converting enzyme 2 receptors (ACE2) in host cells, as 41 was also reported for its recent preceding epidemic causing viral family member, SARS-CoV-1, 42 responsible for the 2003-2004 outbreak in southeastern China (1). ACE2 is abundant in the 43 lungs, heart, blood vessels, tests, brain and intestine(2, 3), and is responsible for the production 44 of Angiotensin 1-7, which exerts vasodilatory, natriuretic/diuretic, anti-inflammatory and 45 antifibrotic effects via the Mas receptor (2, 4). In the lung, the organ most vulnerable to SARS- 46 CoV-2 infection in the ongoing current pandemic, ACE2 is localized to type II (AT2), and to a 47 lesser extent to type I (AT1) alveolar cells (4). Remarkably, AT2 express many genes that are 48 profoundly involved in the reproduction and transmission of the virus (5). The kidney and testis, 49 two additional organs susceptible to SARS-CoV-2 also express high immunoreactivity to ACE2(2, 50 3), which therefore can be reasonably hypothesized as a candidate for possible involvement in 51 the clinical manifestations of SARS-CoV-2, which also encompass acute kidney injury and 52 impaired fertility (6-8) (Fig 1). Furthermore, preliminary available data from infected patients 53 illustrate that patients treated with angiotensin-II inhibitors (ACE-I)/angiotensin receptor 54 blockers (ARBs) or non-steroidal anti-inflammatory drugs (NSAIDs) exhibit severe symptoms 55 with a higher mortality rate as compared to non-user counterparts (6-8). Of notable relevance 56 is the demonstration that that ACE-I, ARBS and even mineralocorticoid receptor (MR) blockers 57 remarkably augment the expression of ACE-2 both in diabetic patients (6, 9) and animals with 58 experimental heart failure (10). Similarly, NSAIDs, non-selectively block cyclooxygenase (COX)-1 59 and COX-2, both enzymes being abundant in kidney tissue and well-established for the role in 60 beneficial vasodilatory and natriuretic responses, as the case with ACE2.	2020	NA	American Journal of Physiology	NA	NA	NA	NA	10.1152/ajplung.00097.2020	15943	#15431	Abassi 2020	NA	* Opinion piece	10.1152/ajplung.00097.2020	* Corresponding Author; email: [email protected]1Physiology and Biophysics, Faculty of Medicine, Technion, Israel* Corresponding Author; email: [email protected]                 Search for more papers by this author             |2Technion - Israel Institute of Technology, Rambam Health Care Campus, Haifa, Israel. Azrieli Faculty of Medicine, Bar-Ilan University, Safed, Israel                 Search for more papers by this author             |3Medicine, Hadassah Hebrew University Hospital, Israel                 Search for more papers by this author             |4Physiology and Biophysics, Technion-Rappaport Faculty of Medicine, Israel                 Search for more papers by this author             |5Department of Nephrology, Anglican Hospital, Nazareth                 Search for more papers by this author              	('Israel', 6)
Controversies about COVID-19 and anticancer treatment with immune checkpoint inhibitors	Bersanelli, Melissa	NA	2020	NA	Immunotherapy	NA	NA	imt-2020-0067	NA	10.2217/imt-2020-0067	17695	#18230	Bersanelli 2020	NA	* Opinion piece	10.2217/imt-2020-0067	*Author for correspondence: Tel.: +39 0521 702 316;                  E-mail Address:                 bersamel@libero.ithttps://orcid.org/0000-0002-6527-6281Medical Oncology Unit, University Hospital of Parma, Parma, ItalyMedicine & Surgery Department, University of Parma, Parma, Italy                 Search for more papers by this author              	('Italy', 2)
CT Findings of Coronavirus Disease (COVID-19) Severe Pneumonia	Guan, Wanhua; Liu, Jinxin; Yu, Chengcheng	NA	2020	NA	American Journal of Roentgenology	NA	NA	W1-W2	NA	10.2214/AJR.20.23035	15941	#15430	Guan 2020	NA	* Case study/series; Clinical aspects, diagnosis, treatment	10.2214/AJR.20.23035	+ Affiliation: 1Guangzhou Eighth People's Hospital, Guangzhou Medical University, Guangzhou, China	('China', 1)
Vascular Changes Detected With Thoracic CT in Coronavirus Disease (COVID-19) Might Be Significant Determinants for Accurate Diagnosis and Optimal Patient Management	Qanadli, Salah D.; Beigelman-Aubry, Catherine; Rotzinger, David C.	NA	2020	NA	AJR. American journal of roentgenology	NA	NA	W1-W1	NA	10.2214/AJR.20.23185	37849	#38794	Qanadli 2020	NA	NA	10.2214/AJR.20.23185	+ Affiliation: 1Lausanne University Hospital, University of Lausanne, Lausanne, Switzerland	('usa', 3)|('Switzerland', 1)
Clinical Features and Chest CT Manifestations of Coronavirus Disease (COVID-19)	Mungmungpuntipantip, Rujittika; Wiwanitkit, Viroj	NA	2020	NA	AJR. American journal of roentgenology	NA	NA	W1-W1	NA	10.2214/AJR.20.23141	37836	#38795	Mungmungpuntipantip 2020	NA	NA	10.2214/AJR.20.23141	+ Affiliations: 126 Medical Center, Bangkok, Thailand [email¬†protected]2Dr DY Patil University, Pune, India	('Thailand', 1)|('India', 1)
